中文名,英文名,影片容量
X战警：天启/X战警：启示录(4K原盘+含国语次世代),X-Men: Apocalypse (2016),58G
罗根,Logan (2017),
X战警：黑凤凰/变种特攻：黑凤凰(4K原盘+含国语次世代),X-Men: Dark Phoenix (2019),59.3G
X战警：新变种人/变种人/新异变人(4K原盘),X-Men: The New Mutants (2020),52.1G
速度与激情1(4K原盘+国语次世代),The Fast and the Furious (2001),38.1G
速度与激情2(4K原盘+含国语次世代),2 Fast 2 Furious (2003),
速度与激情3(4K原盘+国语次世代),The Fast and the Furious: Tokyo Drift (2006),64.5G
速度与激情4,Fast & Furious (2009),
速度与激情5(4K原盘+国语次世代),Fast Five (2011),58.1G
速度与激情6(4K原盘+含国语次世代),Fast & Furious 6 (2013),62.7G
速度与激情7(4K原盘+国语次世代音轨),Fast & Furious 7 (2015),53.4G
速度与激情8(4K原盘+含国语次世代),The Fate of the Furious (2017),58.6G
玩命關頭：特戰飛車手,Hobbs & Shaw (2019),
速度与激情9,F9 (2021),
速度与激情10,Fast X (2023),
哈利波特1：神秘的魔法石,Harry Potter and the Philosopher's Stone (2001),
哈利波特2：消失的密室,Harry Potter and the Chamber of Secrets (2002),
哈利波特3：阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban (2004),
哈利波特4：火焰杯,Harry Potter and the Goblet of Fire (2005),
哈利波特5：凤凰会的密令,Harry Potter and the Order of the Phoenix (2007),
哈利波特6：混血王子的背叛,Harry Potter and the Half-Blood Prince (2009),
哈利波特7(上)/哈利.波特与死亡圣器(上)(4K原盘+含国语次世代),Harry Potter and the Deathly Hallows: Part 1 (2010),72.3G
哈利波特7(下)/哈利·波特与死亡圣器(下)(4K原盘+含国语次世代),Harry Potter and the Deathly Hallows: Part 2 (2011),55.4G
魔戒首部曲：魔戒现身/魔戒1/指环王1:魔戒再现(4K原盘+加长版+国语次世代),The Lord of the Rings: The Fellowship of the Ring (2001),142.5G
魔戒二部曲：双塔奇兵/魔戒2/指环王2：双塔(4K原盘+加长版+国语次世代),The Lord of the Rings: The Two Towers (2002),138G
魔戒三部曲：国王归来/魔戒3/指环王3：王者无敌(4K原盘+加长版+国语次世代),The Lord of the Rings: The Return of the King (2003),157G
神鬼認證,The Bourne Identity (2002),
神鬼認證2,The Bourne Supremacy (2004),
神鬼認證3,The Bourne Ultimatum (2007),
神鬼認證4,The Bourne Legacy (2012),
神鬼認證：傑森包恩,Jason Bourne (2016),
生化危机1/2002恶灵古堡/生化危机之变种生还(4K原盘+国语次世代),Resident Evil (2002),53.7G
生化危机2：启示录/生化危机之歼灭生还者(4K原盘+国语次世代),Resident Evil: Apocalypse (2004),53.3G
生化危机3：灭绝/恶灵古堡3：劫后余生(4K原盘+国语次世代),Resident Evil: Extinction (2007),
